product_id,category_id,sku,name,description,list_price,active,specs_xml,created_at,updated_at
106,18,SKU-18-0106,Category 18 Budget Item D,Category 18 Budget Item D in category 18. High quality item for omnichannel retail.,645.37,1,<specs><brand>NorthTech</brand><color>Red</color><size>OneSize</size><warranty>6 months</warranty></specs>,2025-10-20 06:16:59,2025-12-16 22:00:15
107,18,SKU-18-0107,Category 18 Standard Item A,Category 18 Standard Item A in category 18. High quality item for omnichannel retail.,626.78,1,<specs><brand>NorthTech</brand><color>Red</color><size>L</size><warranty>12 months</warranty></specs>,2024-06-28 17:49:02,2024-11-04 12:50:21
108,18,SKU-18-0108,Category 18 Standard Item B,Category 18 Standard Item B in category 18. High quality item for omnichannel retail.,696.52,1,<specs><brand>ActiveLife</brand><color>White</color><size>OneSize</size><warranty>24 months</warranty></specs>,2023-08-15 19:39:43,2024-01-29 13:45:46
109,19,SKU-19-0109,Category 19 Standard Item A,Category 19 Standard Item A in category 19. High quality item for omnichannel retail.,434.25,0,<specs><brand>NorthTech</brand><color>Silver</color><size>L</size><warranty>24 months</warranty></specs>,2023-03-09 15:20:41,2023-03-15 03:31:18
110,19,SKU-19-0110,Category 19 Premium Item C,Category 19 Premium Item C in category 19. High quality item for omnichannel retail.,441.65,0,<specs><brand>OmniBrand</brand><color>Silver</color><size>L</size><warranty>12 months</warranty></specs>,2024-01-15 00:19:10,2024-07-06 17:13:15
111,19,SKU-19-0111,Category 19 Standard Item B,Category 19 Standard Item B in category 19. High quality item for omnichannel retail.,551.00,1,<specs><brand>OmniBrand</brand><color>Red</color><size>L</size><warranty>6 months</warranty></specs>,2023-08-30 08:24:24,2023-12-12 16:53:51
112,19,SKU-19-0112,Category 19 Standard Item A,Category 19 Standard Item A in category 19. High quality item for omnichannel retail.,463.92,1,<specs><brand>UrbanHome</brand><color>Grey</color><size>XL</size><warranty>12 months</warranty></specs>,2024-12-22 21:01:23,2025-06-14 15:18:09
113,19,SKU-19-0113,Category 19 Standard Item B,Category 19 Standard Item B in category 19. High quality item for omnichannel retail.,186.68,1,<specs><brand>OmniBrand</brand><color>Grey</color><size>S</size><warranty>12 months</warranty></specs>,2024-08-20 14:09:29,2024-09-14 01:53:51
114,19,SKU-19-0114,Category 19 Standard Item A,Category 19 Standard Item A in category 19. High quality item for omnichannel retail.,354.36,1,<specs><brand>UrbanHome</brand><color>White</color><size>S</size><warranty>24 months</warranty></specs>,2023-10-25 12:40:28,2023-12-24 13:55:52
115,20,SKU-20-0115,Category 20 Premium Item C,Category 20 Premium Item C in category 20. High quality item for omnichannel retail.,776.48,1,<specs><brand>NorthTech</brand><color>Blue</color><size>XL</size><warranty>24 months</warranty></specs>,2024-02-10 18:47:07,2024-06-02 13:09:59
116,20,SKU-20-0116,Category 20 Budget Item D,Category 20 Budget Item D in category 20. High quality item for omnichannel retail.,81.72,1,<specs><brand>UrbanHome</brand><color>Silver</color><size>S</size><warranty>12 months</warranty></specs>,2024-01-22 23:56:03,2024-06-14 19:06:36
117,20,SKU-20-0117,Category 20 Budget Item D,Category 20 Budget Item D in category 20. High quality item for omnichannel retail.,322.85,1,<specs><brand>NorthTech</brand><color>Blue</color><size>L</size><warranty>6 months</warranty></specs>,2023-08-12 15:54:28,2023-11-12 21:28:48
118,20,SKU-20-0118,Category 20 Standard Item A,Category 20 Standard Item A in category 20. High quality item for omnichannel retail.,695.64,1,<specs><brand>UrbanHome</brand><color>White</color><size>S</size><warranty>24 months</warranty></specs>,2023-01-10 19:08:55,2023-03-11 06:20:38
119,20,SKU-20-0119,Category 20 Standard Item A,Category 20 Standard Item A in category 20. High quality item for omnichannel retail.,332.98,1,<specs><brand>UrbanHome</brand><color>Black</color><size>L</size><warranty>12 months</warranty></specs>,2023-05-28 10:42:07,2023-08-12 22:05:38
120,20,SKU-20-0120,Category 20 Premium Item C,Category 20 Premium Item C in category 20. High quality item for omnichannel retail.,741.20,0,<specs><brand>UrbanHome</brand><color>Black</color><size>XL</size><warranty>24 months</warranty></specs>,2025-03-18 18:04:20,2025-07-21 19:41:36
